Response Id,Seeing other people cry can easily make you feel like you want to cry too,You often make a backup plan for a backup plan.,"At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",You prefer to completely finish one project before starting another.,You enjoy participating in group activities.,You are definitely not an artistic type of person.,Your mood can change very quickly.,You often end up doing things at the last possible moment.,You rarely second-guess the choices that you have made.,You feel comfortable just walking up to someone you find interesting and striking up a conversation.,You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,You struggle with deadlines.,You like to have a to-do list for each day.,You rarely worry about whether you make a good impression on people you meet.,You feel confident that things will work out for you.,You are prone to worrying that things will take a turn for the worse.,"You have always been fascinated by the question of what, if anything, happens after death.",You usually prefer to be around others rather than on your own.,You find it easy to empathize with a person whose experiences are very different from yours.,You avoid making phone calls.,You often spend a lot of time trying to understand views that are very different from your own.,"In your social circle, you are often the one who contacts your friends and initiates activities.","If your plans are interrupted, your top priority is to get back on track as soon as possible.",Your emotions control you more than you control them.,You often feel overwhelmed.,Personality_numeric
176,0,1,-2,-1,-3,2,3,-2,-1,0,0,-1,1,3,0,-1,-3,1,0,-1,0,-1,-1,-2,0,1
179,0,-1,2,-1,2,-2,0,1,-1,-3,0,-2,0,0,-2,-2,-3,-1,1,-1,-1,-1,-2,0,-2,1
180,-2,-1,3,-1,-1,0,-2,-1,1,-1,1,-1,-1,1,-1,1,-3,-2,0,1,1,-1,-3,2,0,3
181,0,-1,2,-2,-3,1,0,2,-2,1,-1,0,1,0,0,-1,-2,-2,0,1,-1,-1,2,0,0,2
184,-1,-3,-2,1,1,0,2,2,1,-2,0,1,0,-1,0,-1,3,-2,-3,1,2,-1,-2,2,2,4
191,-1,-2,-1,1,1,2,2,0,2,1,-1,1,1,-1,1,-2,2,0,2,-2,2,-1,2,-1,2,5
192,0,-1,-2,-1,3,2,1,0,2,-1,0,1,1,-2,1,-1,2,-1,0,-1,-1,1,1,1,-1,4
197,-3,-2,0,2,-1,1,2,-1,2,0,1,-1,2,-3,1,0,-1,0,-1,3,0,1,-2,1,-3,2
198,0,-3,0,-2,0,3,0,3,1,0,-1,0,-2,-1,2,0,0,-1,-1,-3,-2,0,2,-3,2,5
204,3,2,-1,1,-2,3,-2,2,3,-1,-2,0,0,-3,1,-1,3,-1,-1,0,-3,2,-1,-1,2,2
210,0,2,-2,1,0,0,2,-1,-3,-2,1,-2,-2,0,1,1,-1,-2,-1,0,0,1,0,2,1,1
217,0,0,-1,-2,2,0,0,2,3,0,-2,3,1,1,-2,0,2,0,-1,0,1,-1,2,1,1,4
219,-2,2,-2,-2,2,-1,3,-2,1,-2,0,0,-2,-2,-1,0,-1,-2,-3,-1,-2,0,-3,3,-1,1
220,-2,2,-1,-1,1,-2,-1,-1,0,-2,1,-1,-1,-1,0,3,0,0,-2,-3,-3,-2,-1,2,0,1
221,-2,0,1,-2,0,0,-3,-1,-2,-1,0,1,1,0,-1,0,-2,-3,-2,1,0,0,-2,0,3,3
223,0,0,-2,-1,1,-1,2,0,-2,-2,2,-1,-1,-2,0,-2,-1,-1,0,-3,1,-3,-2,1,-1,1
231,0,2,-1,-2,-1,1,0,-1,-1,1,-2,1,-1,2,1,1,2,0,2,-2,-2,-1,-1,0,0,4
232,-1,0,1,-2,-1,0,1,-2,-1,0,-1,1,1,0,-1,0,0,0,2,0,0,-2,-2,2,2,2
235,-3,1,-2,1,-3,2,1,0,1,-2,2,-2,1,1,0,-2,-1,0,-2,2,-1,1,3,1,2,1
238,1,0,1,-1,1,1,1,-3,0,-2,0,0,2,0,0,2,-3,1,-3,-2,-2,1,1,-3,1,3
239,-2,-1,0,-1,-2,1,-2,1,1,2,-1,-1,-1,0,-1,-2,-1,3,1,-2,1,-3,-1,1,2,2
241,-1,-3,-2,-2,0,1,1,3,1,-2,0,-1,3,-1,-3,2,2,-3,-2,1,1,-1,2,3,2,4
245,0,-2,-1,-2,2,2,2,2,0,0,-1,2,1,0,-2,1,0,-2,0,1,1,-1,2,1,1,4
246,-2,-1,-2,-2,2,0,0,0,1,-2,-1,-3,1,-1,2,-2,-1,-3,0,0,0,-1,-1,-2,0,5
251,-2,1,0,0,0,1,1,0,1,-1,3,1,-2,1,1,1,2,-1,3,-2,0,0,1,2,3,4
252,2,0,-1,-2,-1,2,-2,-1,-2,2,0,1,-1,3,1,0,2,0,3,-3,-1,0,1,-2,2,4
260,-2,-1,2,2,-3,2,-1,0,2,0,0,-1,0,1,-2,-2,0,-3,2,-1,-3,3,0,3,0,2
261,0,-1,-2,-1,1,-2,0,2,2,-3,-2,0,1,-2,-1,2,2,-3,-1,2,1,-2,-1,-1,0,4
263,0,-1,-3,-1,-1,3,1,3,2,0,-1,-1,-1,1,1,-1,2,-2,-2,-3,0,0,1,-2,-1,5
265,2,2,-1,-3,-3,1,0,1,-3,3,0,2,0,2,1,1,0,-2,-1,2,-1,-1,1,-2,0,4
267,2,2,-2,2,0,-1,0,-1,1,0,0,1,0,0,1,1,-1,-2,2,0,-1,-1,2,-2,2,4
273,-2,-2,-1,0,1,-1,2,2,1,-1,-2,3,0,-2,0,-2,-2,1,2,0,-1,-1,1,-1,2,2
274,0,0,-2,-2,1,-1,-1,0,2,-2,-1,1,1,-3,3,-3,2,0,-3,0,1,-1,2,1,0,5
276,-1,-2,-1,1,2,1,3,1,-1,-1,0,2,0,-1,1,1,0,0,1,2,-1,-2,-1,0,0,4
277,1,0,-1,-1,-1,-2,-1,-1,0,-2,3,-2,1,2,-1,-1,-3,1,-2,-1,0,-2,2,0,-1,1
282,0,-2,0,2,-2,2,1,-2,0,0,-1,-1,0,-2,0,0,-2,-1,-1,2,-3,0,-3,0,-2,2
284,-1,0,0,-3,-2,-3,1,-1,-2,-2,2,2,1,-3,0,0,1,3,2,-1,1,-1,1,0,3,2
285,-1,0,-1,-2,0,-1,-1,1,0,-3,1,-2,-1,0,-1,-1,0,-1,0,-3,0,0,1,1,0,1
290,1,-1,0,-1,-1,1,1,-1,-1,-2,-1,-1,0,3,-2,1,-1,0,-1,0,0,-2,3,1,-3,3
292,0,1,-1,-1,-2,2,-2,-1,-2,1,1,2,-1,2,2,1,2,2,-1,-1,-1,-1,0,-2,1,4
295,1,1,0,0,1,0,1,2,1,0,2,-2,-1,1,0,-1,1,1,0,1,0,2,-1,-1,2,5
296,-1,0,-2,-2,2,3,2,-1,-1,-3,-1,1,2,0,0,1,2,0,-1,2,2,0,0,0,0,4
298,-1,-2,-2,-1,-1,1,1,2,0,-1,-1,0,3,-3,-2,2,1,-1,0,0,0,-1,0,1,0,4
302,2,-2,0,1,1,-1,1,-1,-1,-2,0,-1,1,0,0,0,-2,2,1,0,2,2,2,-1,0,3
306,-1,0,-3,-1,3,-2,0,-2,0,0,1,-1,0,-1,-2,1,0,-1,0,0,-1,-1,-3,2,-1,1
307,-3,-1,1,-1,0,1,1,0,1,-1,0,-2,2,0,-1,1,-2,0,-1,2,0,2,-1,0,-1,2
309,-2,1,0,-1,1,-1,1,0,-2,-1,2,1,0,-2,-1,-1,-1,1,-1,-1,-2,-2,-1,2,-2,1
315,-2,0,0,-1,-2,1,0,-2,-2,-1,2,-3,0,0,-1,0,-2,-1,-2,-1,3,-2,-1,0,-1,3
318,0,1,0,-1,-1,2,0,-1,2,-2,1,-2,0,1,1,-2,0,1,1,0,-1,-1,1,-2,1,1
322,-1,-1,-2,-1,0,2,2,1,-1,-2,0,0,2,-1,-1,-1,2,0,0,-1,-1,0,0,0,0,4
328,1,-1,3,-3,-1,1,0,1,-2,-1,-1,0,1,1,-1,2,-2,0,-1,1,0,3,-2,-2,0,3
331,-1,-3,-1,-2,-1,2,3,1,1,2,0,1,1,-1,-2,2,1,-3,-2,2,-2,1,0,2,1,4
334,-2,0,-1,-2,1,1,1,3,0,-2,-1,0,0,-1,0,0,1,-2,-1,1,1,-3,1,-1,1,5
337,3,1,2,-2,-3,1,1,-1,-1,2,-1,2,1,3,3,1,2,0,1,-3,1,1,1,-2,3,4
338,-1,0,0,-2,-1,-1,-1,-1,1,-2,-2,1,2,-1,-2,0,1,-1,1,0,2,1,0,0,0,4
347,0,-2,0,-1,2,1,-3,-1,-2,0,0,0,1,3,2,1,0,-1,0,0,-2,-1,-1,3,1,3
354,-3,-2,-1,0,3,1,0,-1,0,0,1,-1,2,-2,0,-2,-1,-2,1,1,2,-3,3,0,3,5
355,0,-2,-1,-2,0,3,-1,2,0,-1,-1,-1,1,1,0,0,2,-3,0,0,2,-2,0,-1,0,5
356,1,3,1,-2,-3,0,1,-1,-3,0,2,-3,3,0,1,2,0,2,-1,-2,-2,1,0,0,-2,3
358,1,3,-3,2,-1,-2,3,-3,-2,2,2,-2,0,-2,0,1,-1,-2,-3,-1,1,-2,-1,1,0,1
365,-2,-1,0,1,3,2,1,0,0,-1,-2,-1,-1,-3,1,-2,0,0,1,0,3,-1,2,0,1,5
367,-1,1,3,-1,-1,1,-2,0,-2,-3,-1,-1,1,0,0,0,1,1,0,0,2,-1,0,0,2,3
369,-1,-2,-2,-3,0,-1,2,-1,2,-2,2,1,-1,0,-2,0,-2,2,0,-2,1,0,1,0,0,1
372,1,-1,1,2,2,2,2,0,2,0,-3,0,2,0,1,-1,-1,-1,-1,1,-2,1,0,0,-1,2
383,0,-2,-2,-1,-3,2,0,-2,-1,0,2,2,-2,0,2,2,-1,-3,0,-2,-2,-2,1,-1,3,4
384,2,-2,1,-2,0,2,-1,-1,1,-3,0,-1,3,-2,2,-1,-1,0,-3,1,2,-1,0,-3,1,5
388,0,0,3,0,1,0,2,-3,-2,-1,3,0,0,-3,-3,1,0,-3,1,0,-2,1,1,2,0,2
389,-1,1,-1,-2,2,0,0,-1,1,0,0,0,1,-2,-1,-2,-2,-1,-2,-1,0,-1,-2,2,-2,1
395,-2,-2,2,-1,0,1,2,0,1,1,-1,2,-1,0,1,0,1,-1,-3,2,0,0,2,3,3,4
404,-1,-1,-2,0,-1,1,-1,-2,-1,-1,1,1,1,2,2,3,0,0,-2,2,1,0,-1,0,-1,3
405,-3,-1,-1,0,-2,1,1,3,1,0,-2,-3,-1,1,-1,0,-2,-1,2,0,-1,3,0,3,-1,2
406,-1,-1,-1,0,2,-1,1,2,0,0,-2,0,1,-2,2,-1,1,-3,-1,-1,-2,-1,2,-1,1,5
408,3,2,1,-2,0,0,1,-2,0,-1,-1,0,1,1,-2,1,-2,-1,-1,-1,1,0,-1,1,-1,3
409,-1,-1,-1,-1,0,1,-1,-1,-2,0,1,1,2,2,3,1,-1,-1,-3,3,-2,1,-2,-1,1,3
410,0,-2,2,1,-1,1,2,1,0,0,-1,0,1,-2,-1,-1,-1,1,2,-1,-2,-1,1,1,1,2
411,2,0,1,0,-3,0,0,-2,2,-2,-1,2,-1,1,-2,-2,0,2,-2,0,-2,0,1,0,0,3
415,0,-2,2,-2,-1,2,-2,-1,-1,-2,0,-1,2,2,1,3,-1,-1,-2,1,2,0,-1,1,1,3
417,0,-1,2,-2,-1,2,1,0,-2,0,-2,-1,1,0,0,-1,1,0,-1,0,0,1,0,-1,0,3
418,2,2,-1,-1,-3,-1,1,0,-3,0,2,2,2,2,1,1,2,-2,1,-2,0,-1,1,-2,-1,4
421,3,1,-1,-2,1,1,2,1,3,1,0,-1,1,2,1,-2,2,-2,-3,2,-1,-2,-1,-1,-1,5
425,-2,-1,1,2,0,0,0,-2,-3,-2,0,-2,2,2,0,-1,-2,0,-1,2,2,-1,-1,3,2,3
428,-1,-3,-1,-2,1,2,1,2,0,-1,-1,1,2,-1,2,-1,-1,-1,0,1,0,0,0,0,1,4
435,0,1,1,0,-1,2,-2,-2,0,-1,2,-1,3,2,3,2,-2,-3,-2,2,1,2,-1,2,3,3
439,2,0,0,0,-1,0,3,1,0,-1,0,-2,3,-1,-2,-1,-2,1,0,-1,-1,3,-2,1,-2,2
440,2,0,-1,1,0,-1,0,1,3,-2,0,2,1,0,-3,2,1,-2,1,3,3,0,0,1,1,4
444,0,-1,1,-2,-2,-3,2,0,-1,-2,0,2,1,0,0,0,-2,2,3,1,0,-2,1,2,0,2
447,1,0,0,0,-1,0,3,1,-2,0,-2,0,2,0,-1,1,-1,2,2,1,-2,0,1,3,1,2
448,0,0,-1,-2,0,3,0,0,1,-1,-2,1,1,-1,-2,0,-1,0,1,1,2,0,2,1,2,4
450,-2,1,-3,-2,-2,1,0,-2,2,-2,2,-1,1,-1,0,0,-1,-1,-1,-2,0,-1,2,-1,0,1
452,-1,1,1,0,0,0,2,0,2,-1,-1,2,-2,1,-1,0,0,-2,-1,2,1,0,1,2,2,4
453,0,0,-1,-1,0,3,-2,0,-3,2,3,0,-2,0,1,1,2,-1,3,-2,-1,-2,0,-1,2,4
457,1,-2,0,2,-3,1,0,-2,0,-1,-1,1,-3,-1,-1,-1,2,2,0,0,-1,3,1,-2,-1,3
461,0,-1,-1,0,0,-1,0,3,0,-1,-1,2,1,0,-1,1,-1,2,3,2,-2,-2,1,1,0,2
462,0,-1,2,-2,-1,0,0,-1,-1,-1,-2,-2,2,-1,-2,-3,-1,1,1,3,-3,-2,0,2,0,2
463,-2,-1,1,0,-1,1,1,0,2,-1,0,1,0,-2,1,-1,1,0,-1,0,1,-2,1,-1,2,4
469,1,1,0,-1,-1,1,3,-2,-1,0,-3,-2,2,1,-1,1,-2,0,1,-2,-1,0,2,-2,-2,3
470,0,2,1,-3,-1,1,0,0,0,-1,1,-1,2,2,-3,2,-1,-1,-1,-2,-2,1,1,0,-1,3
472,-1,1,0,-1,-1,3,1,-2,1,-2,1,-1,2,3,0,-3,-1,2,-2,-1,0,-1,2,-1,-2,1
473,0,2,-1,2,1,-2,1,0,-2,-1,0,-2,-1,0,-2,-1,0,-1,0,1,-1,-2,-1,2,-3,1
474,0,1,-1,-2,-2,-3,2,-1,-2,-1,0,1,0,-2,-2,1,-1,2,0,1,1,-3,1,2,1,2
475,-1,2,0,-1,1,-3,1,-3,-1,-1,1,-2,-2,-1,-2,0,-2,-2,0,-1,0,0,-1,0,0,1
480,-2,0,1,0,0,3,3,2,2,0,-3,-3,2,-1,0,-1,-1,1,0,0,0,2,-1,2,-1,2
484,1,2,0,-3,-2,2,-1,2,0,0,0,2,-3,3,1,1,1,0,1,-2,-1,-2,1,-1,0,4
485,-2,2,1,-2,0,-2,2,-1,-1,0,0,2,1,-2,-2,-2,1,-2,1,-2,-2,-2,-1,2,-2,1
486,-3,-2,-1,-2,-3,-1,1,1,-2,-2,-3,0,0,-3,1,-2,-2,3,1,1,0,-3,0,1,0,2
488,1,2,-1,0,2,3,0,3,1,2,1,3,2,1,1,-1,2,2,0,2,-2,1,1,2,-1,5
489,-1,-1,-3,0,-2,2,2,0,1,-1,-1,1,2,1,-2,-1,1,1,-2,-2,-2,-3,1,-2,0,1
493,0,-1,1,2,0,1,2,0,-1,1,-1,-2,0,-1,-2,0,-2,-2,0,0,-1,0,-1,-2,-2,2
495,3,-2,-3,-1,2,1,-1,-1,1,2,2,-1,0,0,2,-1,2,1,0,-2,-3,0,0,0,0,5
500,1,0,0,-2,1,2,-1,2,1,1,0,0,0,0,1,0,2,2,0,1,-2,2,1,2,0,5
506,-2,-2,1,0,-1,0,0,1,1,-2,-2,1,0,1,-2,0,-1,-2,1,2,1,0,0,1,2,4
513,-3,-1,0,-3,-1,-2,1,-1,0,-1,2,-2,0,0,0,-2,0,1,0,-1,2,-2,3,0,2,1
514,-2,0,1,-1,0,2,-1,-2,1,-1,3,-1,-1,2,1,-1,-2,0,-1,1,0,1,-1,2,1,3
517,-2,-2,-2,-1,0,0,2,1,2,-3,0,-1,-1,-1,0,-3,2,0,-2,1,3,-2,1,-1,1,5
518,1,1,0,-2,2,1,1,-1,2,1,2,-1,-1,0,1,-2,0,0,-2,3,-1,0,0,-1,2,5
520,-1,1,-1,2,0,2,-1,-1,-1,0,-1,0,-3,1,1,0,1,-1,1,-1,-3,-1,3,1,2,4
523,-1,-1,1,0,-1,-1,2,2,-1,-2,-1,2,3,0,1,-2,-3,-2,1,2,-1,-2,2,-2,0,2
528,-2,-1,-1,-1,-2,3,1,-3,-1,-2,1,0,1,1,0,-1,-2,3,-1,-1,1,-2,2,0,1,1
529,0,2,2,-1,0,0,2,0,-3,-1,-1,-2,2,1,0,2,-1,1,-3,0,1,2,0,-1,-1,3
530,-2,-1,3,-1,-3,-1,-1,-1,-2,-1,-1,0,2,0,-1,0,-1,-1,0,2,0,-2,0,2,-1,2
534,0,-2,-2,-1,0,2,1,1,0,-2,-2,0,3,0,-3,3,1,-3,-1,1,1,0,2,3,1,4
535,0,2,0,0,-3,1,-2,-1,-2,1,0,0,-1,2,1,1,2,0,0,0,1,-1,3,0,1,4
538,0,-2,2,-1,0,-1,1,1,0,1,-1,0,1,-1,-1,-1,1,0,0,1,-2,-2,-1,0,-1,2
541,-2,0,2,-2,-1,-2,0,2,-1,-2,0,2,0,-3,-3,0,-3,1,1,1,-2,0,0,0,1,2
546,0,1,-1,-1,-1,2,0,0,0,1,1,0,3,-1,-1,-2,-1,1,-2,-2,-1,0,3,-1,0,1
549,-2,0,3,-2,-3,1,1,-2,0,0,-2,0,-2,0,0,0,-3,0,2,0,0,-2,-1,1,1,2
553,-1,-2,-2,-2,2,0,1,2,2,1,-2,1,1,-2,-1,0,3,-2,-2,0,-1,-1,0,2,0,4
554,-1,-2,1,-2,0,0,-3,-1,0,-2,0,0,1,1,1,2,0,-1,0,2,0,0,-2,0,1,3
555,0,-1,-1,-1,-1,-2,-1,0,3,0,3,-1,0,0,-1,0,1,0,-2,-2,0,0,1,-3,1,1
560,2,2,1,-1,-1,2,-1,-2,-1,1,-1,-2,0,-1,-3,1,-1,1,1,-3,0,2,0,1,-3,3
562,-1,-1,1,0,-1,-3,-1,3,-2,1,0,2,1,1,-2,-1,-1,1,1,2,-2,-3,1,2,2,2
563,-2,0,-3,0,-2,-1,-2,-2,1,-1,-1,2,0,0,-3,1,2,-1,1,0,-2,2,2,-2,1,3
568,1,2,0,-2,-1,-1,-1,1,0,1,3,1,1,-1,1,0,2,-3,0,-1,0,0,1,-2,1,4
570,-1,0,-1,-2,0,0,-2,0,1,-2,-1,1,1,-2,-3,1,0,-1,-2,0,3,0,0,0,2,4
573,-2,1,-1,-1,-1,2,0,-1,1,0,1,-3,1,0,-1,-2,-1,0,-1,-1,-1,0,3,-1,1,1
574,-1,-3,-2,-3,1,1,-1,3,1,0,-2,0,1,-3,-1,-1,1,0,0,1,2,-2,2,-2,0,4
581,-1,-2,1,-2,-1,-2,0,1,-1,0,-2,2,1,1,-1,-2,-2,1,1,1,0,-3,0,2,1,2
593,-2,0,-1,-2,2,0,1,3,0,0,-1,3,-1,0,1,0,1,-1,-1,2,1,1,3,2,0,4
595,-1,1,0,-1,1,2,0,0,1,-1,-3,-3,1,-2,3,0,1,0,0,-1,2,-2,0,-1,1,5
596,1,-1,-1,2,0,1,3,0,2,2,-1,-2,0,-1,-1,-1,-2,-2,0,2,-1,1,-1,2,-1,2
